System.Id,Keywords
098928b2-b3e5-4d3d-a314-c5994985d764,"Interior design photographer, professional interior photographer, New York City professional Photographer"
d71d15ad-c07c-4933-9f61-f2297ba44ae8,"Interior design photographer, professional interior photographer, New York City professional Photographer"
5a7a3be2-4dd7-4dce-8a30-b959f7be28c0,"building 1, building 2, building 3, building 4, igs, intergate seattle, morning, sunny"
a9cd602b-778e-4226-b549-0d87846024ff,"building 1, building 2, building 3, building 4, igs, intergate seattle, morning, sunny"
17b98341-2a62-452d-9a09-be10da8f4101,"Alan Abramowitz, Dave Sabey, Management, Sabey Corporation, Seattle, contracted photographer, employee, headshot, interior, man, portrait, sabey, suit"
f9106d3c-b4ec-48c1-9484-cc409d9147db,"Alan Abramowitz, Dave Sabey, Management, Sabey Corporation, Seattle, contracted photographer, employee, headshot, interior, man, portrait, sabey, suit"
16338a7a-59a2-4e1a-a37e-5a31db3e60c2,"2009, Building 5, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, building, button, buttons, control panel, data center, data centers, datacenter, datacenters, interior, locker, panel, pipe, pipes, properties, property, sabey, storage, switchboard"
65c855e4-3f5e-4a37-b541-21579e5bf3ea,"2009, Building 5, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, building, button, buttons, control panel, data center, data centers, datacenter, datacenters, interior, locker, panel, pipe, pipes, properties, property, sabey, storage, switchboard"
1d7636b5-ae2d-40b6-a81d-265a29d09fc8,Sabey
c684ce10-ce1f-4684-8135-41a8e1027946,Sabey
3e1d8791-b494-4d25-beee-6d225e52be5e,"2012, IGM, Manhattan, New York, New York City, Sabey, Sabey Corporation, building, exterior, floor, property, skyscraper, window, windows"
c9377820-644f-418f-867f-bbf4c779835e,"2012, IGM, Manhattan, New York, New York City, Sabey, Sabey Corporation, building, exterior, floor, property, skyscraper, window, windows"
3a27e232-89eb-4c57-890e-39222815c44f,"p15-0037, fy15, fall, rna, core dt and kos, starbucks logo ceramic cup, pumpkin spice latte, psl"
d098768a-70b9-4028-b6d0-9bbfb4568fa1,"p15-0037, fy15, fall, rna, core dt and kos, starbucks logo ceramic cup, pumpkin spice latte, psl"
264cb167-808d-4896-8ded-a7c87c4c7866,Sabey
c7616fd0-80bc-4216-b77a-468cb4cc6a9a,Sabey
4b37f929-bebb-45f5-80d2-d057d7976d68,"IGQ, Intergate Quincy, timelapse"
b43e6b73-a185-42b4-972c-d6a2659d8d0b,"IGQ, Intergate Quincy, timelapse"
